,FUT_CNVS_FACTOR,FUT_CTD_CUSIP,FUT_CUR_GEN_TICKER,PX_LAST,join_id_bonds,join_id_fut,CPN,MATURITY,ISSUE_DT,DAY_CNT_DES,CPN_FREQ,INT_ACC_DT,CURRENT_CONTRACT_MONTH_YR,PX_LAST_BONDS
6/9/2004,0.84922,ED033382,RXU04,112.27,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,95.77
6/10/2004,0.84922,ED033382,RXU04,112.21,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,95.707
6/11/2004,0.84922,ED033382,RXU04,111.94,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,95.533
6/14/2004,0.84922,ED033382,RXU04,112.04,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,95.558
6/15/2004,0.84922,ED033382,RXU04,112.97,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,96.098
6/16/2004,0.84922,ED033382,RXU04,112.55,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,95.916
6/17/2004,0.84922,ED033382,RXU04,112.46,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,95.832
6/18/2004,0.84922,ED033382,RXU04,112.71,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,96.08
6/21/2004,0.84922,ED033382,RXU04,112.86,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,96.172
6/22/2004,0.84922,ED033382,RXU04,112.67,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,96.026
6/23/2004,0.84922,ED033382,RXU04,112.74,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,96.029
6/24/2004,0.84922,ED033382,RXU04,113.2,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,96.504
6/25/2004,0.84922,ED033382,RXU04,112.96,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,96.325
6/28/2004,0.84922,ED033382,RXU04,112.6,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,96.006
6/29/2004,0.84922,ED033382,RXU04,112.74,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,95.999
6/30/2004,0.84922,ED033382,RXU04,113.15,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,96.387
7/1/2004,0.84922,ED033382,RXU04,113.2,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,96.37
7/2/2004,0.84922,ED033382,RXU04,113.57,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,96.804
7/5/2004,0.84922,ED033382,RXU04,113.66,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,96.806
7/6/2004,0.84922,ED033382,RXU04,113.67,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,96.809
7/7/2004,0.84922,ED033382,RXU04,113.9,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,96.983
7/8/2004,0.84922,ED033382,RXU04,113.94,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,97.027
7/9/2004,0.84922,ED033382,RXU04,114.03,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,97.023
7/12/2004,0.84922,ED033382,RXU04,114.14,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,97.131
7/13/2004,0.84922,ED033382,RXU04,113.72,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,96.793
7/14/2004,0.84922,ED033382,RXU04,113.81,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,96.865
7/15/2004,0.84922,ED033382,RXU04,113.81,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,96.862
7/16/2004,0.84922,ED033382,RXU04,114.32,ED033382 Govt,RXU04 Comdty,3.75,7/4/2013,7/4/2003,ACT/ACT,1,7/4/2003,4-Sep,97.313
