Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,CTD Coupon,CTD Maturity Date,CTD Interest Accrual Date,CTD Day Count,CTD Coupon Frequency,CTD Issue Date,Futures Expiry Month/Year,CTD Price
9-Jun-2004,0.84922,ED033382,RXU04,112.27,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,95.77
10-Jun-2004,0.84922,ED033382,RXU04,112.21,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,95.707
11-Jun-2004,0.84922,ED033382,RXU04,111.94,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,95.533
14-Jun-2004,0.84922,ED033382,RXU04,112.04,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,95.558
15-Jun-2004,0.84922,ED033382,RXU04,112.97,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.098
16-Jun-2004,0.84922,ED033382,RXU04,112.55,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,95.916
17-Jun-2004,0.84922,ED033382,RXU04,112.46,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,95.832
18-Jun-2004,0.84922,ED033382,RXU04,112.71,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.08
21-Jun-2004,0.84922,ED033382,RXU04,112.86,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.172
22-Jun-2004,0.84922,ED033382,RXU04,112.67,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.026
23-Jun-2004,0.84922,ED033382,RXU04,112.74,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.029
24-Jun-2004,0.84922,ED033382,RXU04,113.2,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.504
25-Jun-2004,0.84922,ED033382,RXU04,112.96,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.325
28-Jun-2004,0.84922,ED033382,RXU04,112.6,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.006
29-Jun-2004,0.84922,ED033382,RXU04,112.74,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,95.999
30-Jun-2004,0.84922,ED033382,RXU04,113.15,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.387
1-Jul-2004,0.84922,ED033382,RXU04,113.2,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.37
2-Jul-2004,0.84922,ED033382,RXU04,113.57,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.804
5-Jul-2004,0.84922,ED033382,RXU04,113.66,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.806
6-Jul-2004,0.84922,ED033382,RXU04,113.67,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.809
7-Jul-2004,0.84922,ED033382,RXU04,113.9,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.983
8-Jul-2004,0.84922,ED033382,RXU04,113.94,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,97.027
9-Jul-2004,0.84922,ED033382,RXU04,114.03,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,97.023
12-Jul-2004,0.84922,ED033382,RXU04,114.14,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,97.131
13-Jul-2004,0.84922,ED033382,RXU04,113.72,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.793
14-Jul-2004,0.84922,ED033382,RXU04,113.81,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.865
15-Jul-2004,0.84922,ED033382,RXU04,113.81,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.862
16-Jul-2004,0.84922,ED033382,RXU04,114.32,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,97.313
19-Jul-2004,0.84922,ED033382,RXU04,114.36,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,97.321
20-Jul-2004,0.84922,ED033382,RXU04,114.21,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,97.197
21-Jul-2004,0.84922,ED033382,RXU04,113.56,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.698
22-Jul-2004,0.84922,ED033382,RXU04,113.93,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.923
23-Jul-2004,0.84922,ED033382,RXU04,113.95,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.949
26-Jul-2004,0.84922,ED033382,RXU04,113.73,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.774
27-Jul-2004,0.84922,ED033382,RXU04,113.52,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.627
28-Jul-2004,0.84922,ED033382,RXU04,113.58,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.565
29-Jul-2004,0.84922,ED033382,RXU04,113.73,ED033382 Govt,RXU04 Comdty,3.75,4-Jul-2013,4-Jul-2003,ACT/ACT,1,4-Jul-2003,4-Sep-2016,96.727
