Date,OIS:1Y,OIS:1M,OIS:2M,OIS:3M,OIS:6M,OIS:9M,OvernightIndex:1D
1-Mar-1991,,,,,,,12.43
4-Mar-1991,,,,,,,12.48
5-Mar-1991,,,,,,,12.341
6-Mar-1991,,,,,,,12.35
7-Mar-1991,,,,,,,12.45
8-Mar-1991,,,,,,,12.35
11-Mar-1991,,,,,,,12.375
12-Mar-1991,,,,,,,12.25
13-Mar-1991,,,,,,,12.4
14-Mar-1991,,,,,,,12.25
15-Mar-1991,,,,,,,12.2
18-Mar-1991,,,,,,,12.35
19-Mar-1991,,,,,,,12.3
20-Mar-1991,,,,,,,12.4
21-Mar-1991,,,,,,,12.45
22-Mar-1991,,,,,,,12.413
25-Mar-1991,,,,,,,12.35
26-Mar-1991,,,,,,,12.3
27-Mar-1991,,,,,,,12.3
28-Mar-1991,,,,,,,12.3
2-Apr-1991,,,,,,,12.25
3-Apr-1991,,,,,,,12.43
4-Apr-1991,,,,,,,12.4
5-Apr-1991,,,,,,,12.508
8-Apr-1991,,,,,,,12.25
9-Apr-1991,,,,,,,12.4
10-Apr-1991,,,,,,,12.408
11-Apr-1991,,,,,,,12.4
12-Apr-1991,,,,,,,12.25
15-Apr-1991,,,,,,,12.4
16-Apr-1991,,,,,,,12.4
17-Apr-1991,,,,,,,12.458
18-Apr-1991,,,,,,,12.66
19-Apr-1991,,,,,,,12.325
22-Apr-1991,,,,,,,12.45
23-Apr-1991,,,,,,,12.808
24-Apr-1991,,,,,,,12.5
25-Apr-1991,,,,,,,12.5
26-Apr-1991,,,,,,,12.4
29-Apr-1991,,,,,,,12.458
30-Apr-1991,,,,,,,12.35
2-May-1991,,,,,,,12.433
3-May-1991,,,,,,,12.45
6-May-1991,,,,,,,12.458
7-May-1991,,,,,,,12.375
8-May-1991,,,,,,,12.25
10-May-1991,,,,,,,12.4
13-May-1991,,,,,,,12.4
14-May-1991,,,,,,,12.438
15-May-1991,,,,,,,12.458
16-May-1991,,,,,,,12.742
17-May-1991,,,,,,,12.37
21-May-1991,,,,,,,12.5
22-May-1991,,,,,,,11.6
23-May-1991,,,,,,,11.65
24-May-1991,,,,,,,11.5
27-May-1991,,,,,,,11.5
28-May-1991,,,,,,,11.5
29-May-1991,,,,,,,11.45
30-May-1991,,,,,,,11.45
31-May-1991,,,,,,,11.3
3-Jun-1991,,,,,,,11.267
4-Jun-1991,,,,,,,10.8
5-Jun-1991,,,,,,,10.383
6-Jun-1991,,,,,,,10.342
7-Jun-1991,,,,,,,10.3
10-Jun-1991,,,,,,,10.3
11-Jun-1991,,,,,,,10.3
12-Jun-1991,,,,,,,10.3
13-Jun-1991,,,,,,,10.4
14-Jun-1991,,,,,,,10.3
17-Jun-1991,,,,,,,10.45
18-Jun-1991,,,,,,,10.4
19-Jun-1991,,,,,,,10.5
20-Jun-1991,,,,,,,10.45
24-Jun-1991,,,,,,,10.442
25-Jun-1991,,,,,,,10.417
26-Jun-1991,,,,,,,10.408
27-Jun-1991,,,,,,,10.358
28-Jun-1991,,,,,,,10.35
1-Jul-1991,,,,,,,10.4
2-Jul-1991,,,,,,,10.392
3-Jul-1991,,,,,,,10.45
4-Jul-1991,,,,,,,10.35
5-Jul-1991,,,,,,,10.35
8-Jul-1991,,,,,,,10.4
9-Jul-1991,,,,,,,10.4
10-Jul-1991,,,,,,,10.417
11-Jul-1991,,,,,,,10.3
12-Jul-1991,,,,,,,10.55
15-Jul-1991,,,,,,,10.5
16-Jul-1991,,,,,,,10.4
17-Jul-1991,,,,,,,10.35
18-Jul-1991,,,,,,,10.35
19-Jul-1991,,,,,,,10.55
22-Jul-1991,,,,,,,10.35
23-Jul-1991,,,,,,,10.55
24-Jul-1991,,,,,,,10.4
25-Jul-1991,,,,,,,10.56
26-Jul-1991,,,,,,,10.475
