Date,FUT_CUR_GEN_TICKER,LAST_PRICE,PX_HIGH,PX_LAST,PX_LOW,Match_id,FUT_ROLL_DT,SETTLE_DT
30-Jun-1989,YEU89,94.42,94.5,94.42,94.42,YEU89 Comdty,18-Sep-1989,16-Mar-2016
3-Jul-1989,YEU89,94.38,94.41,94.38,94.36,YEU89 Comdty,18-Sep-1989,16-Mar-2016
4-Jul-1989,YEU89,94.41,94.42,94.41,94.4,YEU89 Comdty,18-Sep-1989,16-Mar-2016
5-Jul-1989,YEU89,94.43,94.44,94.43,94.4,YEU89 Comdty,18-Sep-1989,16-Mar-2016
6-Jul-1989,YEU89,94.45,94.49,94.45,94.45,YEU89 Comdty,18-Sep-1989,16-Mar-2016
7-Jul-1989,YEU89,94.47,94.47,94.47,94.43,YEU89 Comdty,18-Sep-1989,16-Mar-2016
10-Jul-1989,YEU89,94.45,94.48,94.45,94.45,YEU89 Comdty,18-Sep-1989,16-Mar-2016
11-Jul-1989,YEU89,94.46,94.46,94.46,94.45,YEU89 Comdty,18-Sep-1989,16-Mar-2016
12-Jul-1989,YEU89,94.46,94.46,94.46,94.45,YEU89 Comdty,18-Sep-1989,16-Mar-2016
13-Jul-1989,YEU89,94.46,94.47,94.46,94.46,YEU89 Comdty,18-Sep-1989,16-Mar-2016
14-Jul-1989,YEU89,94.47,94.47,94.47,94.46,YEU89 Comdty,18-Sep-1989,16-Mar-2016
17-Jul-1989,YEU89,94.45,94.46,94.45,94.45,YEU89 Comdty,18-Sep-1989,16-Mar-2016
18-Jul-1989,YEU89,94.45,94.45,94.45,94.44,YEU89 Comdty,18-Sep-1989,16-Mar-2016
19-Jul-1989,YEU89,94.46,94.47,94.46,94.45,YEU89 Comdty,18-Sep-1989,16-Mar-2016
20-Jul-1989,YEU89,94.46,94.47,94.46,94.45,YEU89 Comdty,18-Sep-1989,16-Mar-2016
21-Jul-1989,YEU89,94.46,94.47,94.46,94.46,YEU89 Comdty,18-Sep-1989,16-Mar-2016
24-Jul-1989,YEU89,94.47,94.45,94.47,94.45,YEU89 Comdty,18-Sep-1989,16-Mar-2016
25-Jul-1989,YEU89,94.47,94.47,94.47,94.46,YEU89 Comdty,18-Sep-1989,16-Mar-2016
26-Jul-1989,YEU89,94.5,94.48,94.5,94.48,YEU89 Comdty,18-Sep-1989,16-Mar-2016
27-Jul-1989,YEU89,94.56,94.6,94.56,94.51,YEU89 Comdty,18-Sep-1989,16-Mar-2016
28-Jul-1989,YEU89,94.59,94.59,94.59,94.56,YEU89 Comdty,18-Sep-1989,16-Mar-2016
31-Jul-1989,YEU89,94.68,94.68,94.68,94.6,YEU89 Comdty,18-Sep-1989,16-Mar-2016
1-Aug-1989,YEU89,94.75,94.79,94.75,94.7,YEU89 Comdty,18-Sep-1989,16-Mar-2016
