,FUT_CUR_GEN_TICKER,LAST_PRICE,PX_HIGH,PX_LAST,PX_LOW,Match_id,SETTLE_DT,FUT_ROLL_DT
1998-12-08,ERH99,96.86,96.855,96.86,96.855,ERH99 Comdty,2016-03-15,1999-03-02
1998-12-09,ERH99,96.875,,96.875,,ERH99 Comdty,2016-03-15,1999-03-02
1998-12-10,ERH99,96.88,96.88,96.88,96.88,ERH99 Comdty,2016-03-15,1999-03-02
1998-12-11,ERH99,96.9,,96.9,,ERH99 Comdty,2016-03-15,1999-03-02
1998-12-14,ERH99,96.88,,96.88,,ERH99 Comdty,2016-03-15,1999-03-02
1998-12-15,ERH99,96.885,,96.885,,ERH99 Comdty,2016-03-15,1999-03-02
1998-12-16,ERH99,96.895,96.88,96.895,96.88,ERH99 Comdty,2016-03-15,1999-03-02
1998-12-17,ERH99,96.91,96.92,96.91,96.905,ERH99 Comdty,2016-03-15,1999-03-02
1998-12-18,ERH99,96.91,,96.91,,ERH99 Comdty,2016-03-15,1999-03-02
1998-12-21,ERH99,96.89,,96.89,,ERH99 Comdty,2016-03-15,1999-03-02
1998-12-22,ERH99,96.88,96.885,96.88,96.875,ERH99 Comdty,2016-03-15,1999-03-02
1998-12-23,ERH99,96.885,,96.885,,ERH99 Comdty,2016-03-15,1999-03-02
1998-12-24,ERH99,96.835,,96.835,,ERH99 Comdty,2016-03-15,1999-03-02
1998-12-29,ERH99,96.85,96.855,96.85,96.855,ERH99 Comdty,2016-03-15,1999-03-02
1998-12-30,ERH99,96.85,,96.85,,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-04,ERH99,96.875,,96.875,,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-05,ERH99,96.88,96.875,96.88,96.875,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-06,ERH99,96.89,,96.89,,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-07,ERH99,96.91,,96.91,,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-08,ERH99,96.91,,96.91,,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-11,ERH99,96.9,96.91,96.9,96.905,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-12,ERH99,96.91,96.91,96.91,96.895,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-13,ERH99,96.945,96.96,96.945,96.92,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-14,ERH99,96.96,96.945,96.96,96.945,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-15,ERH99,96.985,96.985,96.985,96.98,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-18,ERH99,97.02,97.02,97.02,96.985,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-19,ERH99,97.04,97.04,97.04,97.025,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-20,ERH99,97.015,97.04,97.015,97.01,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-21,ERH99,97.02,97.04,97.02,97.015,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-22,ERH99,97.035,97.05,97.035,97.03,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-25,ERH99,97.035,97.055,97.035,97.03,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-26,ERH99,97.01,97.03,97.01,97.005,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-27,ERH99,97.01,97.015,97.01,96.99,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-28,ERH99,97.02,97.025,97.02,97.01,ERH99 Comdty,2016-03-15,1999-03-02
1999-01-29,ERH99,97.03,97.03,97.03,97.015,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-01,ERH99,96.98,97.025,96.98,96.97,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-02,ERH99,96.965,96.99,96.965,96.965,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-03,ERH99,96.97,96.98,96.97,96.95,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-04,ERH99,96.98,96.99,96.98,96.94,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-05,ERH99,96.96,96.97,96.96,96.94,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-08,ERH99,96.94,96.95,96.94,96.93,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-09,ERH99,96.94,96.945,96.94,96.93,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-10,ERH99,96.94,96.945,96.94,96.925,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-11,ERH99,96.945,96.95,96.945,96.925,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-12,ERH99,96.95,96.96,96.95,96.925,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-15,ERH99,96.95,96.955,96.95,96.945,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-16,ERH99,96.97,96.97,96.97,96.95,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-17,ERH99,96.985,96.99,96.985,96.96,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-18,ERH99,96.98,96.995,96.98,96.96,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-19,ERH99,96.985,96.99,96.985,96.96,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-22,ERH99,96.98,96.985,96.98,96.97,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-23,ERH99,96.965,96.98,96.965,96.965,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-24,ERH99,96.955,96.965,96.955,96.95,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-25,ERH99,96.945,96.965,96.945,96.94,ERH99 Comdty,2016-03-15,1999-03-02
1999-02-26,ERH99,96.94,96.945,96.94,96.92,ERH99 Comdty,2016-03-15,1999-03-02
1999-03-01,ERH99,96.905,96.96,96.905,96.895,ERH99 Comdty,2016-03-15,1999-03-02
1999-03-02,ERH99,96.89,96.905,96.89,96.88,ERH99 Comdty,2016-03-15,1999-03-02
1999-03-03,ERH99,96.895,96.915,96.895,96.89,ERH99 Comdty,2016-03-15,1999-03-02
1999-03-04,ERH99,96.915,96.94,96.915,96.885,ERH99 Comdty,2016-03-15,1999-03-02
1999-03-05,ERH99,96.915,96.96,96.915,96.9,ERH99 Comdty,2016-03-15,1999-03-02
1999-03-08,ERH99,96.92,96.935,96.92,96.91,ERH99 Comdty,2016-03-15,1999-03-02
1999-03-09,ERH99,96.92,96.93,96.92,96.92,ERH99 Comdty,2016-03-15,1999-03-02
1999-03-10,ERH99,96.93,96.93,96.93,96.925,ERH99 Comdty,2016-03-15,1999-03-02
1999-03-11,ERH99,96.945,96.97,96.945,96.925,ERH99 Comdty,2016-03-15,1999-03-02
1999-03-12,ERH99,96.955,96.97,96.955,96.95,ERH99 Comdty,2016-03-15,1999-03-02
1999-03-15,ERH99,96.96,96.97,96.96,96.96,ERH99 Comdty,2016-03-15,1999-03-02
1999-03-16,ERM99,97.1,97.1,97.1,97.075,ERM99 Comdty,2016-03-15,1999-06-04
1999-03-17,ERM99,97.11,97.125,97.11,97.1,ERM99 Comdty,2016-03-15,1999-06-04
1999-03-18,ERM99,97.15,97.155,97.15,97.11,ERM99 Comdty,2016-03-15,1999-06-04
1999-03-19,ERM99,97.125,97.14,97.125,97.115,ERM99 Comdty,2016-03-15,1999-06-04
1999-03-22,ERM99,97.105,97.115,97.105,97.095,ERM99 Comdty,2016-03-15,1999-06-04
1999-03-23,ERM99,97.105,97.105,97.105,97.09,ERM99 Comdty,2016-03-15,1999-06-04
1999-03-24,ERM99,97.14,97.145,97.14,97.105,ERM99 Comdty,2016-03-15,1999-06-04
1999-03-25,ERM99,97.16,97.175,97.16,97.145,ERM99 Comdty,2016-03-15,1999-06-04
1999-03-26,ERM99,97.135,97.155,97.135,97.13,ERM99 Comdty,2016-03-15,1999-06-04
1999-03-29,ERM99,97.155,97.165,97.155,97.13,ERM99 Comdty,2016-03-15,1999-06-04
1999-03-30,ERM99,97.175,97.18,97.175,97.145,ERM99 Comdty,2016-03-15,1999-06-04
1999-03-31,ERM99,97.18,97.19,97.18,97.17,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-01,ERM99,97.195,97.215,97.195,97.18,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-06,ERM99,97.21,97.23,97.21,97.205,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-07,ERM99,97.2,97.22,97.2,97.19,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-08,ERM99,97.21,97.22,97.21,97.195,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-09,ERM99,97.365,97.39,97.365,97.36,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-12,ERM99,97.37,97.38,97.37,97.37,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-13,ERM99,97.38,97.385,97.38,97.365,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-14,ERM99,97.39,97.395,97.39,97.375,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-15,ERM99,97.385,97.395,97.385,97.385,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-16,ERM99,97.385,97.39,97.385,97.375,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-19,ERM99,97.39,97.395,97.39,97.38,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-20,ERM99,97.405,97.405,97.405,97.39,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-21,ERM99,97.405,97.415,97.405,97.405,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-22,ERM99,97.405,97.415,97.405,97.4,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-23,ERM99,97.405,97.41,97.405,97.4,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-26,ERM99,97.405,97.405,97.405,97.395,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-27,ERM99,97.405,97.41,97.405,97.4,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-28,ERM99,97.4,97.41,97.4,97.395,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-29,ERM99,97.405,97.405,97.405,97.395,ERM99 Comdty,2016-03-15,1999-06-04
1999-04-30,ERM99,97.405,97.41,97.405,97.405,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-03,ERM99,97.4,97.405,97.4,97.395,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-04,ERM99,97.4,97.405,97.4,97.395,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-05,ERM99,97.395,97.4,97.395,97.395,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-06,ERM99,97.4,97.405,97.4,97.395,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-07,ERM99,97.405,97.405,97.405,97.395,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-10,ERM99,97.405,97.405,97.405,97.4,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-11,ERM99,97.415,97.42,97.415,97.4,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-12,ERM99,97.43,97.43,97.43,97.41,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-13,ERM99,97.445,97.45,97.445,97.42,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-14,ERM99,97.41,97.45,97.41,97.41,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-17,ERM99,97.425,97.425,97.425,97.41,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-18,ERM99,97.425,97.425,97.425,97.42,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-19,ERM99,97.41,97.42,97.41,97.405,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-20,ERM99,97.41,97.415,97.41,97.405,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-21,ERM99,97.415,97.415,97.415,97.405,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-24,ERM99,97.425,97.43,97.425,97.42,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-25,ERM99,97.425,97.43,97.425,97.42,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-26,ERM99,97.425,97.43,97.425,97.42,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-27,ERM99,97.42,97.425,97.42,97.415,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-28,ERM99,97.41,97.415,97.41,97.4,ERM99 Comdty,2016-03-15,1999-06-04
1999-05-31,ERM99,97.39,97.41,97.39,97.385,ERM99 Comdty,2016-03-15,1999-06-04
1999-06-01,ERM99,97.39,97.4,97.39,97.37,ERM99 Comdty,2016-03-15,1999-06-04
1999-06-02,ERM99,97.37,97.395,97.37,97.36,ERM99 Comdty,2016-03-15,1999-06-04
1999-06-03,ERM99,97.385,97.395,97.385,97.37,ERM99 Comdty,2016-03-15,1999-06-04
1999-06-04,ERM99,97.375,97.38,97.375,97.36,ERM99 Comdty,2016-03-15,1999-06-04
1999-06-07,ERM99,97.385,97.385,97.385,97.365,ERM99 Comdty,2016-03-15,1999-06-04
1999-06-08,ERM99,97.385,97.39,97.385,97.38,ERM99 Comdty,2016-03-15,1999-06-04
